	1000	500	300	250	200	150	100	50	25
1000	1	0.6226415094	0.679245283	0.4905660377	0.4716981132	0.4716981132	0.4150943396	0.3773584906	0.2075471698
500	0.7173913043	1	0.7826086957	0.6304347826	0.5434782609	0.5652173913	0.4782608696	0.4130434783	0.2608695652
300	0.7058823529	0.7058823529	1	0.6470588235	0.5490196078	0.5098039216	0.4509803922	0.431372549	0.2352941176
250	0.6341463415	0.7073170732	0.8048780488	1	0.6585365854	0.6341463415	0.4634146341	0.512195122	0.2926829268
200	0.6578947368	0.6578947368	0.7368421053	0.7105263158	1	0.6578947368	0.6315789474	0.6052631579	0.3157894737
150	0.7352941176	0.7647058824	0.7647058824	0.7647058824	0.7352941176	1	0.5588235294	0.5294117647	0.2647058824
100	0.6666666667	0.6666666667	0.696969697	0.5757575758	0.7272727273	0.5757575758	1	0.6666666667	0.3636363636
50	0.6896551724	0.6551724138	0.7586206897	0.724137931	0.7931034483	0.6206896552	0.7586206897	1	0.3793103448
25	0.4782608696	0.5217391304	0.5217391304	0.5217391304	0.5217391304	0.3913043478	0.5217391304	0.4782608696	1
